,Alert,IQR,Kurto,Entro,Skewn,Sex,Comp,Picos,Umbral,Gama
89,FALSE,8.41976,0.70897,2.0035,1.15125,Mujer,Slim,7,42.919,Alta
90,FALSE,6.84939,1.64301,1.8782,1.39175,Mujer,Slim,6,23.142,Alta
91,FALSE,2.96789,1.78049,1.7866,1.24907,Mujer,Slim,1,15.211,Alta
92,FALSE,5.77171,4.07673,1.6693,1.57182,Mujer,Slim,5,23.237,Alta
93,FALSE,14.3046,-0.768,2.118,0.57174,Mujer,Slim,1,36.448,Alta
94,FALSE,11.8024,-0.4798,2.102,0.60386,Mujer,Slim,6,27.72,Alta
95,FALSE,7.89874,0.68554,1.9841,1.09219,Mujer,Slim,9,17.344,Alta
96,FALSE,10.1028,0.45711,1.967,1.10409,Mujer,Slim,8,15.286,Alta
97,FALSE,7.12666,2.44196,1.8672,1.50243,Mujer,Slim,6,24.204,Alta
98,FALSE,12.4243,-0.7403,2.1903,0.43395,Mujer,Slim,9,22.34,Alta
99,FALSE,11.392,-0.4275,2.1401,0.58957,Mujer,Slim,7,19.243,Alta
100,FALSE,3.02331,4.26937,1.6564,1.50249,Mujer,Slim,1,24.468,Alta
101,FALSE,10.1385,0.68004,1.9856,1.15879,Mujer,Slim,7,21.41,Alta
102,TRUE,1.1284,16.431,0.98396,2.82766,Mujer,Slim,2,61.24,Alta
103,TRUE,1.2613,39.486,0.51334,4.98364,Mujer,Slim,0,63.31,Alta
104,TRUE,0.8079,8.8797,1.10959,1.97321,Mujer,Slim,1,19.025,Alta
105,TRUE,1.2403,13.616,1.20119,1.1127,Mujer,Slim,0,42.14,Alta
106,TRUE,0.9404,15.705,0.96201,3.08228,Mujer,Slim,1,21.742,Alta
107,TRUE,0.7183,20.916,1.18732,3.13811,Mujer,Slim,0,47.023,Alta
108,TRUE,0.7735,5.304,1.31382,0.96843,Mujer,Slim,1,16.65,Alta
109,TRUE,0.781,24.483,0.80496,3.57183,Mujer,Slim,0,54.87,Alta
110,TRUE,0.7471,11.757,0.93342,2.28027,Mujer,Slim,1,24.693,Alta
111,TRUE,0.8578,6.4149,1.30499,1.26849,Mujer,Slim,1,20.291,Alta
112,TRUE,0.5954,6.6036,1.04809,0.46184,Mujer,Slim,0,24.057,Alta
113,TRUE,1.0362,43.086,0.90963,5.45961,Mujer,Slim,0,54.029,Alta
114,TRUE,0.5149,22.969,0.67035,3.49634,Mujer,Slim,1,19.352,Alta
